Fx-exp-flat,,Fx-num-flat,,Fz-exp-flat,,Fz-num-flat,
X,Y,X,Y,X,Y,X,Y
-2.354274201591687,0,-2.358114779408313,0,-2.350433623775061,0,-2.350433623775061,-0.026773761713521083
-1.9702164199290952,0.026773761713521083,-2.185288777660147,-0.026773761713521083,-1.989419309012225,0.026773761713521083,-2.03166566499511,0
-1.3595645470855746,-0.026773761713521083,-1.901086019229829,0.026773761713521083,-1.5170282375672373,0.053547523427042165,-1.6399267276992666,-0.026773761713521083
-1.2328254791369193,0.08032128514056325,-1.6476078833325183,0.026773761713521083,-1.29811530201956,0,-1.286593568569682,0
-1.1483327671711492,0.4551539491298513,-1.3634051249022006,0,-1.1828979675207825,0.9370816599732272,-1.19441970097066,0.9906291834002694
-1.067680633022005,1.0977242302543502,-1.2251443235036674,0.1338688085676054,-1.106086411188264,2.2489959839357425,-1.1252893002713935,2.141900937081658
-0.9870284988728606,1.927710843373493,-1.1291298780880195,0.6157965194109778,-1.0254342770391196,3.6144578313253035,-1.0523183217555012,3.5341365461847403
-0.9294198316234719,2.650602409638555,-1.0484777439388755,1.2851405622489942,-0.9563038763398533,4.8460508701472556,-0.975506765422983,4.8460508701472556
-0.8602894309242053,3.4538152610441806,-0.9831879210562349,2.0080321285140563,-0.8910140534572126,5.729585006693441,-0.8679705865574572,6.184738955823292
-0.7911590302249389,4.36412315930388,-0.9178980981735942,2.7576974564926395,-0.8218836527579461,6.425702811244982,-0.7911590302249389,6.746987951807231
-0.73355036297555,5.113788487282463,-0.8410865418410758,3.7483266398929054,-0.7489126742420535,6.907630522088354,-0.7181880517090464,7.121820615796519
-0.6528982288264058,6.157965194109771,-0.7565938298753054,4.872824631860777,-0.6567388066430317,7.175368139223561,-0.6452170731931539,7.014725568942435
-0.5645649390440097,7.041499330655956,-0.6605793844596577,5.943775100401606,-0.5722460946772616,7.175368139223561,-0.5338403165110024,6.47925033467202
-0.4877533827114915,7.791164658634539,-0.5684055168606357,7.014725568942435,-0.49159396052811744,6.880856760374833,-0.44934760454523204,5.729585006693441
-0.38789835947921736,8.433734939759034,-0.47623164926161365,7.925033467202141,-0.4339852932787287,6.586345381526105,-0.34181142567970646,4.605087014725569
-0.2803621806136918,8.88888888888889,-0.3917389372958433,8.56760374832664,-0.372536048212714,6.104417670682729,-0.24963755808068466,3.6144578313253035
-0.1805071573814181,9.022757697456491,-0.28804333624694367,9.129852744310575,-0.30340564751344745,5.595716198125839,-0.14210137921515908,2.3293172690763058
-0.08833328978239585,8.808567603748326,-0.17666657956479215,9.31726907630522,-0.2189129355476771,4.8192771084337345,-0.019202889083129282,1.070950468540829
-0.011521733449877836,8.540829986613119,-0.0844927119657699,9.156626506024097,-0.14594195703178503,4.016064257028113,0.10369560104890008,-0.0803212851405597
0.049927511616136844,8.16599732262383,0.019202889083129726,8.808567603748326,-0.0806521341491444,3.3467202141900927,0.21123177991442565,-0.7764390896921007
0.11905791231540341,7.684069611780455,0.12289849013202936,8.16599732262383,0,2.5167336010709533,0.3149273809633253,-1.3386880856760364
0.19971004646454782,7.041499330655956,0.23043466899755538,7.4163319946452475,0.09985502323227413,1.6331994645247683,0.4224635598288513,-1.7938420348058912
0.295724491880196,6.291834002677376,0.34949258131295835,6.3721552878179395,0.18818831301466998,0.9370816599732272,0.5760866724938878,-1.9812583668005352
0.3955795151124697,5.354752342704149,0.4109418263789735,5.7028112449799195,0.29956506969682195,0.2409638554216862,0.6951445848092912,-2.061579651941095
0.4877533827114915,4.390896921017401,0.49159396052811744,4.95314591700134,0.41862298201222536,-0.4283801874163302,0.8103619193080691,-1.7938420348058912
0.5760866724938878,3.5609103078982614,0.5722460946772618,4.203480589022757,0.5031156939779953,-0.7496653279785797,0.9639850319731056,-1.3119143239625153
0.6528982288264058,2.8915662650602414,0.672101117909536,3.212851405622491,0.7335503629755502,-1.044176706827308,1.117608144638142,-0.5890227576974567
0.7757967189584352,1.927710843373493,0.7949996080415649,2.1686746987951793,0.8180430749413206,-1.017402945113787,1.23282547913692,-0.10709504685408078
0.8718111643740833,1.2851405622489942,0.8910140534572131,1.4457831325301207,0.9793473432396094,-0.8032128514056218,1.4056514808850862,0.026773761713521083
0.9639850319731056,0.8299866131191429,0.9639850319731056,0.9906291834002694,1.1329704559046458,-0.5622489959839356,1.686013661498778,0
1.0868835221051345,0.5354752342704181,1.0792023664718826,0.4551539491298513,1.2558689460366752,-0.48192771084337593,1.9010860192298291,-0.026773761713521083
1.205941434420538,0.29451137884872836,1.2213037456870417,0.10709504685408433,1.4824630372176042,-0.13386880856760186,2.1046366435110033,-0.026773761713521083
1.3672457027188263,0.08032128514056325,1.3864485918019565,0,1.7013759727652817,-0.053547523427042165,2.346593045958435,-0.0803212851405597
1.532390548833741,-0.026773761713521083,1.5976803717163812,-0.026773761713521083,1.8089121516308073,0,,
1.7013759727652817,-0.026773761713521083,1.9318106417628367,0,1.8934048635965772,-0.18741633199464403,,
1.9318106417628367,-0.026773761713521083,2.216013400193155,-0.026773761713521083,2.066230865344743,-0.10709504685408078,,
2.127680110410758,-0.053547523427042165,2.346593045958435,-0.053547523427042165,2.350433623775062,-0.10709504685408078,,
2.346593045958435,-0.053547523427042165,,,,,,
