Fx-exp-C,,Fx-num-C,,Fz-exp-C,,Fz-num-C,
X,Y,X,Y,X,Y,X,Y
0.6369420810003374,3.3830225731117807,1.0297118807112113,0.6052463833570059,0.24986563839350762,3.797610915,-0.02151173,9.752716234
0.733881813,2.609185315614802,1.1621767239947438,0.2907606598426078,0.336630964,2.988271814910199,0.045048464,8.308002778
0.8512062773765194,1.7652590748368482,1.2793036273197442,0.2228440920303747,0.4183494964157175,2.002452542726548,0.11668239042807649,6.933949994426033
0.9582665350964206,1.2385626613232823,1.4676962750890628,0.2270745853116054,0.5000321087475594,1.1577259383548508,0.19340801045481992,5.560011548103276
1.0754742589481356,0.8531875909341622,1.6509972296754256,0.2311907409365901,0.6020096533430301,0.5956420202320452,0.25473283,4.679554426
1.1824806363168952,0.5381301791385198,1.9157562951305387,0.2724094660145582,0.7446848231680416,0.1755654711711827,0.3467065895134036,3.4117784936585416
1.330193618973719,0.32980696945183396,2.3434585224987208,0.2820138291395189,0.8822054394004333,0.002286753,0.4182058154793378,2.566823213974345
1.5033381273697444,0.22787494890535243,,,1.060405720745318,0.041561738046709706,0.5151724874185666,1.6871664556184065
1.6662633291657656,0.266806921,,,1.2080468629339522,0.11542386398391713,0.6324879719725667,0.8785133817934359
1.880114442849858,0.27160910242081115,,,1.381155451095884,0.15458451124938932,0.795565835,0.31780151554562863
2.058323704253266,0.2756109203895427,,,1.717189241053835,0.23267713046783456,0.938187124,0.10936396820268968
2.2263495792907655,0.2793840630457787,,,1.997232366116335,0.23896570156156116,1.152029257862928,0.14943931671816202
2.3536419088646294,0.28224250445201804,,,2.262009391688496,0.20963809273354883,1.4065959568936082,0.2257025334366105
,,,,2.353650888923153,0.24696933749902783,1.6968224683220168,0.23221977984283626
,,,,,,1.9310403547379256,0.2374793120303167
,,,,,,2.149983161604971,0.24239583124904485
,,,,,,2.348559195740199,0.24685499984277826
